EducationLevelCode,EducationLevelText,,,
-,-,,,
1,1 year (or Grade 1),,,
2,2 years (or Grade 2),,,
3,3 years (or Grade 3),,,
4,4 years (or Grade 4),,,
5,5 years (or Grade 5),,,
6,6 years (or Grade 6),,,
7,7 years (or Grade 7),,,
8,8 years (or Grade 8),,,
9,9 years (or Grade 9),,,
10,10 years (or Grade 10),,,
11,11 years (or Grade 11),,,
12,12 years (or Grade 12),,,
13,13 years (or Grade 13),,,
14,14 years (or Grade 14),,,
IN,Informal education,,,
KG,Kindergarten,,,
NE,No education,,,
PG,Post university level,,,
TC,Technical or vocational,,,
U,Unknown,,,
UG,University level,,,
