OccupationCode,OccupationText,,,
-,-,,,
1,Student,,,
110,Armed forces/military,,,
11,Legislators and Senior Officials,,,
1110,Legislators,,,
1111,Legislators,,,
1112,Senior government officials,,,
1113,Traditional chiefs and heads of village,,,
1114,Senior officials of special-interest organizations,,,
1120,Senior government officials,,,
1130,Traditional leaders and village heads,,,
1140,Senior officials of special interest organisations,,,
1141,Senior officials of political-parties,,,
1142,Senior officials of economic-interest org.,,,
1143,Senior officials of humanitarian org.,,,
12,Corporate Managers,,,
1210,Corporate directors and chief executives,,,
1211,Finance managers,,,
1212,Human resource managers,,,
1213,Policy and planning managers,,,
1219,Business services and administration managers not elsewhere classified,,,
1220,Production and operations department managers,,,
1221,"Production managers in agriculture, hunting…",,,
1222,Production managers in manufacturing,,,
1223,Production managers in construction,,,
1224,Production managers in wholesale and retail,,,
1225,Production managers in restaurants and hotels,,,
1226,"Production managers in trspt, storage, communicat",,,
1227,Production  managers in business services,,,
1228,"Production managers in pers. care, cleaning & rela",,,
1229,Corporate production managers,,,
1230,Other department managers,,,
1231,Finance and admin department managers,,,
1232,Personnel and industrial relations Dpt. Managers,,,
1233,Sales and marketing department managers,,,
1234,Advertising / public relations department manage,,,
1235,Supply and distribution department managers,,,
1236,Computing services department managers,,,
1237,Research and design department managers,,,
1239,Department managers (within large firm),,,
13,General managers,,,
1310,General managers,,,
1311,"General managers in agriculture, hunting…",,,
1312,General managers in manufacturing,,,
1313,General managers in construction,,,
1314,General managers in wholesale and retail,,,
1315,General managers of restaurants and hotels,,,
1316,"General managers in trspt, storage & communicatio",,,
1317,General managers of  business services,,,
1318,"General managers in personal care, cleaning & rela",,,
1319,General managers (own or small business),,,
1321,Manufacturing managers,,,
1322,Mining managers,,,
1323,Construction managers,,,
1324,"Supply, distribution and related managers",,,
1330,Information and communications technology service managers,,,
1341,Child care services managers,,,
1342,Health services managers,,,
1343,Aged care services managers,,,
1344,Social welfare managers,,,
1345,Education managers,,,
1346,Financial and insurance services branch managers,,,
1349,Professional services managers not elsewhere classified,,,
1411,Hotel managers,,,
1412,Restaurant managers,,,
1420,Retail and wholesale trade managers,,,
1431,"Sports, recreation and cultural centre managers",,,
1439,Services managers not elsewhere classified,,,
21,"Physical, Mathematical, and Enginerring Science Pr",,,
2110,Physical scientists (general),,,
2111,Physicists and astronomers,,,
2112,Meteorologists,,,
2113,Chemists,,,
2114,Geologists and geophysicists,,,
2120,Mathematicians and statisticians,,,
2121,Mathematicians and related professionals,,,
2122,Statisticians,,,
2130,Computing professionals,,,
2131,Computer systems designers and analysts,,,
2132,Computer programmers,,,
2133,Environmental protection professionals,,,
2139,Computing professionals not elsewhere classified,,,
2140,Architects and engineers (general),,,
2141,Architects and planners,,,
2142,Civil engineers,,,
2143,Electrical engineers,,,
2144,Electronics and telecommunications engineers,,,
2145,Mechanical engineers,,,
2146,Chemical engineers,,,
2147,Mining engineers - metallurgists & related,,,
2148,Cartographers and surveyors,,,
2149,"Architects, engineers& related not classified",,,
2151,Electrical engineers,,,
2152,Electronics engineers,,,
2153,Telecommunications engineers,,,
2161,Building architects,,,
2162,Landscape architects,,,
2163,Product and garment designers,,,
2164,Town and traffic planners,,,
2165,Cartographers and surveyors,,,
2166,Graphic and multimedia designers,,,
22,Life Science and Health Professionals,,,
2210,Life science professionals,,,
2211,"Biologists, botanists, zoologists & related",,,
2212,"Pharmacologists, pathologists & related",,,
2213,Agronomists & related,,,
2220,Health professionals (except nursing),,,
2221,Medical doctors,,,
2222,Dentists,,,
2223,Veterinarians,,,
2224,Pharmacists,,,
2229,Other health professionals (except nursing),,,
2230,Nurses and midwifery professionals,,,
2240,Paramedical practitioners,,,
2250,Veterinarians,,,
2261,Dentists,,,
2262,Pharmacists,,,
2263,Environmental and occupational health and hygiene professionals,,,
2264,Physiotherapists,,,
2265,Dieticians and nutritionists,,,
2266,Audiologists and speech therapists,,,
2267,Optometrists and ophthalmic opticians,,,
2269,Health professionals not elsewhere classified,,,
23,Teaching Professionals,,,
2310,University and higher education teachers,,,
2320,Secondary education teachers,,,
2330,Primary and pre-primary teachers,,,
2331,Primary education teachers,,,
2332,Pre-primary education teachers,,,
2340,Special education teachers,,,
2341,Primary school teachers,,,
2342,Early childhood educators,,,
2350,Other teaching professionals,,,
2351,Education methods specialists,,,
2352,School inspectors,,,
