AddressTypeCode,AddressTypeText,,,
AstAd,Assistance disbursement address,,,
CoR,Country of Residence - Current,,,
PCoR,Country of Residence - Earlier,,,
COA,Country or territory of asylum - current,,,
PCoA,Country or territory of asylum - earlier,,,
PCoO,Country or territory of origin - earlier,,,
CoO,Country or territory of origin - most recent,,,
VolRe,Intended return location,,,
Integ,Local integration location,,,
Mail,Mailing address,,,
PMail,Previous mailing address,,,
RST,Resettlement location,,,
Trans,Transit location,,,
EML,Email of person of Concern,,,
TEL,Telephone of person of Concern,,,
