IomrelationshipCode,IomrelationshipText
AB,ADOPTED BROTHER
AD,ADOPTED DAUGHTER
AF,ADOPTED FATHER
AM,ADOPTED MOTHER
AR,ADOPTED SISTER
AS,ADOPTED SON
AU,AUNT
BR,BROTHER
BI,BROTHER IN LAW
BW,BROTHER'S WIFE
CU,CIVIL UNION OR PARTNERSHIP
DI,DAUGHTER IN LAW
DR,DISTANT RELATIVE
EH,EX-HUSBAND
EW,EX-WIFE
FA,FATHER
FI,FATHER IN LAW
FC,FEMALE COUSIN
FB,FOSTER BROTHER
FD,FOSTER DAUGHTER
FF,FOSTER FATHER
FM,FOSTER MOTHER
FT,FOSTER SISTER
FS,FOSTER SON
FR,FRIEND
GD,GRAND DAUGHTER
GF,GRAND FATHER
GM,GRAND MOTHER
GS,GRAND SON
GR,GREAT GRAND DAUGHTER
GH,GREAT GRAND FATHER
GG,GREAT GRAND MOTHER
GN,GREAT GRAND SON
GU,GUARDIAN
HB,HALF BROTHER
HS,HALF SISTER
BH,HUSBAND'S BROTHER
US,HUSBAND'S SISTER
IF,In-Law (Female)
IM,In-Law (Male)
MC,MALE COUSIN
MW,MINOR WIFE
MO,MOTHER
MI,MOTHER IN LAW
NE,NEPHEW
NI,NIECE
PA,PRINCIPAL APPLICANT
MR,RELATIVE BY MARRIAGE
SI,SISTER
SW,SISTER IN LAW
SH,SISTER'S HUSBAND
SL,SON IN LAW
SB,STEP BROTHER
SD,STEP DAUGHTER
SF,STEP FATHER
SM,STEP MOTHER
SS,STEP SISTER
SN,STEP SON
UM,UNACCOMPANIED MINOR
UN,UNCLE
NF,UNION WITH FEMALE
NM,UNION WITH MALE
ZZ,UNKNOWN
UK,UNKNOWN RELATIONSHIP
UR,Unrelated
WB,WIFE'S BROTHER
WS,WIFE'S SISTER
